schema:award,schema:countryOfOrigin,schema:sourceOrganization,schema:coursePrerequisites,schema:citation,schema:courseCode,schema:copyrightNotice,schema:discussionUrl,schema:license,schema:associatedMedia,schema:additionalType,schema:availableLanguage,schema:mainEntityOfPage,schema:accessibilitySummary,schema:educationalCredentialAwarded,schema:awards,schema:fileFormat,schema:totalHistoricalEnrollment,schema:acquireLicensePage,schema:name,schema:contentReferenceTime,schema:text,schema:financialAidEligible,dcterms:identifier,schema:position,schema:creator,schema:creditText,schema:teaches,schema:schemaVersion,schema:maintainer,schema:encoding,schema:isBasedOnUrl,schema:owner,schema:pattern,schema:video,schema:audio,schema:dateCreated,schema:publication,schema:translator,schema:learningResourceType,schema:sdPublisher,schema:offers,schema:material,schema:funder,schema:thumbnail,schema:contentLocation,schema:about,schema:contributor,schema:workTranslation,schema:comment,schema:headline,schema:spatial,schema:sdLicense,schema:copyrightYear,schema:numberOfCredits,schema:educationalLevel,schema:creativeWorkStatus,schema:sponsor,schema:author,schema:translationOfWork,schema:commentCount,schema:audience,schema:datePublished,schema:temporalCoverage,schema:mainEntity,schema:subjectOf,schema:materialExtent,schema:releasedEvent,schema:timeRequired,schema:inLanguage,schema:assesses,schema:temporal,schema:encodingFormat,schema:hasCourseInstance,schema:producer,schema:editEIDR,schema:character,schema:alternativeHeadline,schema:mentions,schema:syllabusSections,schema:publisher,schema:conditionsOfAccess,schema:educationalAlignment,schema:educationalUse,schema:interpretedAsClaim,schema:accessModeSufficient,schema:digitalSourceType,schema:version,schema:priceCurrency,schema:contentRating,schema:genre,schema:recordedAt,schema:url,schema:isBasedOn,schema:accessibilityAPI,schema:archivedAt,schema:publishingPrinciples,schema:interactionStatistic,schema:copyrightHolder,schema:thumbnailUrl,schema:hasPart,schema:reviews,schema:encodings,schema:typicalAgeRange,schema:image,schema:isFamilyFriendly,schema:description,schema:price,schema:isPartOf,schema:abstract,schema:keywords,schema:disambiguatingDescription,schema:workExample,schema:correction,schema:usageInfo,schema:expires,schema:displayLocation,schema:locationCreated,schema:accessibilityFeature,schema:provider,schema:accountablePerson,schema:sdDatePublished,schema:accessMode,schema:wordCount,schema:funding,schema:sameAs,schema:size,schema:exampleOfWork,schema:accessibilityHazard,schema:dateModified,schema:accessibilityControl,schema:interactivityType,schema:isAccessibleForFree,schema:potentialAction,schema:publisherImprint,schema:alternateName,schema:occupationalCredentialAwarded,schema:review,schema:editor,schema:aggregateRating,schema:offers_url,schema:spatialCoverage
,,,,,,,,,,,,,,,,,,,Engaging Stakeholders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.netacad.com/courses/engaging-stakeholders,,,,,,,,,,,,,,,,,,,,,,,,,,,Netacad,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,English For It1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.netacad.com/courses/english-for-it1,,,,,,,,,,,,,,,,,,,,,,,,,,,Netacad,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,English For It2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.netacad.com/courses/english-for-it2,,,,,,,,,,,,,,,,,,,,,,,,,,,Netacad,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Ethical Hacker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.netacad.com/courses/ethical-hacker,,,,,,,,,,,,,,,,,,,,,,,,,,,Netacad,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Exploring Iot Cisco Packet Tracer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.netacad.com/courses/exploring-iot-cisco-packet-tracer,,,,,,,,,,,,,,,,,,,,,,,,,,,Netacad,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Exploring Networking Cisco Packet Tracer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.netacad.com/courses/exploring-networking-cisco-packet-tracer,,,,,,,,,,,,,,,,,,,,,,,,,,,Netacad,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Getting Started Cisco Packet Tracer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.netacad.com/courses/getting-started-cisco-packet-tracer,,,,,,,,,,,,,,,,,,,,,,,,,,,Netacad,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Introduction Data Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.netacad.com/courses/introduction-data-science,,,,,,,,,,,,,,,,,,,,,,,,,,,Netacad,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Introduction Iot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.netacad.com/courses/introduction-iot,,,,,,,,,,,,,,,,,,,,,,,,,,,Netacad,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Introduction To Cybersecurity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.netacad.com/courses/introduction-to-cybersecurity,,,,,,,,,,,,,,,,,,,,,,,,,,,Netacad,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Introduction To Modern Ai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.netacad.com/courses/introduction-to-modern-ai,,,,,,,,,,,,,,,,,,,,,,,,,,,Netacad,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Javascript Essentials 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.netacad.com/courses/javascript-essentials-1,,,,,,,,,,,,,,,,,,,,,,,,,,,Netacad,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Javascript Essentials 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.netacad.com/courses/javascript-essentials-2,,,,,,,,,,,,,,,,,,,,,,,,,,,Netacad,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Linux 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.netacad.com/courses/linux-1,,,,,,,,,,,,,,,,,,,,,,,,,,,Netacad,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Linux 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.netacad.com/courses/linux-2,,,,,,,,,,,,,,,,,,,,,,,,,,,Netacad,,,,,,,,,,,,,,,,,,,,,,
