schema:name,schema:description,schema:url,schema:image,dcterms:identifier,schema:provider,schema:inLanguage,schema:educationalLevel,schema:timeRequired,schema:about,schema:keywords,schema:isAccessibleForFree,schema:price,schema:priceCurrency,schema:offers_url,schema:educationalCredentialAwarded
Getting Started with Cisco Packet Tracer - Skills for All,"Free online course introducing Cisco Packet Tracer, a network simulation and visualization tool by Cisco Networking Academy. Download and start today!",https://www.netacad.com/courses/getting-started-cisco-packet-tracer?courseLang=en-US,,,Netacad,,Beginner,PT2H,,,,,,,
CCNP Enterprise: Advanced Routing,"The second in a two-course series to become an advanced networking expert. Prepare for professional-level jobs as a Network Administrator, System Administrator, or Network Engineer.",https://www.netacad.com/courses/ccnp-enterprise-advanced-routing?courseLang=en-US,,,Netacad,,Advanced,PT70H,,,,,,,
Linux Essentials,Linux Essentials: Prepare for the LPI Linux Essentials Exam.,https://www.netacad.com/courses/linux-essentials?courseLang=en-US,,,Netacad,,Intermediate,PT70H,,,,,,,
CCNP Enterprise: Advanced Routing (v9),"The second in a two-course series to become an advanced networking expert. Prepare for professional-level jobs as a Network Administrator, System Administrator, or Network Engineer.  ",https://www.netacad.com/courses/ccnp-enterprise-advanced-routing-cu-v26h1?courseLang=en-US,,,Netacad,,Advanced,PT70H,,,,,,,
CyberOps Associate ,"Learn to monitor, detect, and respond to cyber threats and security incidents as you prepare for CyberOps Associate certification.",https://www.netacad.com/courses/cyberops-associate?courseLang=en-US,,,Netacad,,Intermediate,PT70H,,,,,,,
Computer Hardware Basics - Skills for All,Free online course to learn about Computer Hardware Basics - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/computer-hardware-basics?courseLang=en-US,,,Netacad,,Beginner,PT6H,,,,,,,
"Create Digital Content, Communicate and Collaborate Online",Free online course. Learn to create digital documents and use collaborative tools for hybrid and remote work - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/create-communicate-collaborate?courseLang=en-US,,,Netacad,,Beginner,PT6H,,,,,,,
Endpoint Security - Skills for All,Free online course to learn endpoint security from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/endpoint-security?courseLang=en-US,,,Netacad,,Beginner,PT27H,,,,,,,
English for IT 2 - Skills for All,Free online course to learn English specific for jobs in IT - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/english-for-it2?courseLang=en-US,,,Netacad,,Intermediate,PT50H,,,,,,,
Python Essentials 1 – Skills for All,Free online Python course. Learn the fundamentals of the Python programming language – from Cisco Networking Academy and Python Institute. Sign up today!,https://www.netacad.com/courses/python-essentials-1?courseLang=en-US,,,Netacad,,Advanced,PT30H,,,,,,,
English for IT 1 - Skills for All,Free online course to learn English specific for jobs in IT - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/english-for-it1?courseLang=en-US,,,Netacad,,Intermediate,PT50H,,,,,,,
Introduction to Data Analytics Essentials - Skills for All,Free online course to learn data analytics essentials - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/data-analytics-essentials?courseLang=en-US,,,Netacad,,Beginner,PT30H,,,,,,,
CCNA: Introduction to Networks ,"The first in a three-course series to build the skills you need for associate-level roles like Network Administrator, System Administrator, or Network Engineer.",https://www.netacad.com/courses/ccna-introduction-networks?courseLang=en-US,,,Netacad,,,PT70H,,,,,,,
CCNP Enterprise: Core Networking (v9),"The first in a two-course series to master professional-level networking concepts. Prepare for jobs as a Network Administrator, System Administrator, or Network Engineer.  ",https://www.netacad.com/courses/ccnp-enterprise-core-networking-cu-v26h1?courseLang=en-US,,,Netacad,,Advanced,PT70H,,,,,,,
Engaging Stakeholders for Success - Skills for All,Free online course to learn about Stakeholders and how to engage them for success - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/engaging-stakeholders?courseLang=en-US,,,Netacad,,Beginner,PT3H,,,,,,,
Data Science Essentials with Python,"Beginner friendly data science with Python's Pandas and Matplotlib through interactive project-based learning. Includes data cleaning, visualization, modeling, and storytelling.",https://www.netacad.com/courses/data-science-essentials-with-python?courseLang=en-US,,,Netacad,,Beginner,PT40H,,,,,,,
Introduction to Greenhouse Gas Accounting for IT,Free online course. Learn IT sustainability fundamentals from Cisco Networking Academy and OnePointFive. Enroll today!,https://www.netacad.com/courses/introduction-to-greenhouse-gas-accounting-for-it?courseLang=en-US,,,Netacad,,Beginner,PT3H,,,,,,,
Managing a Business Venture - Skills for All,"Free online management course for entrepreneurs. Learn accounting, operations, networking and handling legal, tax, and risk issue.",https://www.netacad.com/courses/managing-business-venture?courseLang=en-US,,,Netacad,,Beginner,PT20H,,,,,,,
Introduction to Data Science - Skills for All,Free online course to learn about Data Science - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/introduction-data-science?courseLang=en-US,,,Netacad,,Beginner,PT6H,,,,,,,
Python Essentials 2 – Skills for All,Free online course to learn intermediate-level Python programming and prep for certification. From experts at Cisco Networking Academy and Python Institute.,https://www.netacad.com/courses/python-essentials-2?courseLang=en-US,,,Netacad,,Advanced,PT40H,,,,,,,
JavaScript Essentials 2 - Skills for All,Learn JavaScript and get started on your programming career. Then prepare for the JSA – Certified Associate JavaScript Programmer Certification,https://www.netacad.com/courses/javascript-essentials-2?courseLang=en-US,,,Netacad,,Advanced,PT50H,,,,,,,
