schema:award,schema:countryOfOrigin,schema:sourceOrganization,schema:coursePrerequisites,schema:citation,schema:courseCode,schema:copyrightNotice,schema:discussionUrl,schema:license,schema:associatedMedia,schema:additionalType,schema:availableLanguage,schema:mainEntityOfPage,schema:accessibilitySummary,schema:educationalCredentialAwarded,schema:awards,schema:fileFormat,schema:totalHistoricalEnrollment,schema:acquireLicensePage,schema:name,schema:contentReferenceTime,schema:text,schema:financialAidEligible,dcterms:identifier,schema:position,schema:creator,schema:creditText,schema:teaches,schema:schemaVersion,schema:maintainer,schema:encoding,schema:isBasedOnUrl,schema:owner,schema:pattern,schema:video,schema:audio,schema:dateCreated,schema:publication,schema:translator,schema:learningResourceType,schema:sdPublisher,schema:offers,schema:material,schema:funder,schema:thumbnail,schema:contentLocation,schema:about,schema:contributor,schema:workTranslation,schema:comment,schema:headline,schema:spatial,schema:sdLicense,schema:copyrightYear,schema:numberOfCredits,schema:educationalLevel,schema:creativeWorkStatus,schema:sponsor,schema:author,schema:translationOfWork,schema:commentCount,schema:audience,schema:datePublished,schema:temporalCoverage,schema:mainEntity,schema:subjectOf,schema:materialExtent,schema:releasedEvent,schema:timeRequired,schema:inLanguage,schema:assesses,schema:temporal,schema:encodingFormat,schema:hasCourseInstance,schema:producer,schema:editEIDR,schema:character,schema:alternativeHeadline,schema:mentions,schema:syllabusSections,schema:publisher,schema:conditionsOfAccess,schema:educationalAlignment,schema:educationalUse,schema:interpretedAsClaim,schema:accessModeSufficient,schema:digitalSourceType,schema:version,schema:priceCurrency,schema:contentRating,schema:genre,schema:recordedAt,schema:url,schema:isBasedOn,schema:accessibilityAPI,schema:archivedAt,schema:publishingPrinciples,schema:interactionStatistic,schema:copyrightHolder,schema:thumbnailUrl,schema:hasPart,schema:reviews,schema:encodings,schema:typicalAgeRange,schema:image,schema:isFamilyFriendly,schema:description,schema:price,schema:isPartOf,schema:abstract,schema:keywords,schema:disambiguatingDescription,schema:workExample,schema:correction,schema:usageInfo,schema:expires,schema:displayLocation,schema:locationCreated,schema:accessibilityFeature,schema:provider,schema:accountablePerson,schema:sdDatePublished,schema:accessMode,schema:wordCount,schema:funding,schema:sameAs,schema:size,schema:exampleOfWork,schema:accessibilityHazard,schema:dateModified,schema:accessibilityControl,schema:interactivityType,schema:isAccessibleForFree,schema:potentialAction,schema:publisherImprint,schema:alternateName,schema:occupationalCredentialAwarded,schema:review,schema:editor,schema:aggregateRating,schema:offers_url,schema:spatialCoverage
,,,,,,,,,,,,,,,,,,,Elaboración de composta,,,,,,,,,,,,,,,,,,,,,,,,,,,Agropecuario,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/282,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/92e231ed-e209-4a15-832d-f7d5be1a16ce.png,,Aquí aprenderás a elaborar diferentes tipos de composta de forma natural para contribuir a mejorar las condiciones del suelo.,0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Capacitate Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,Agropecuario,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/100000,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/e4ee3a01-5586-4ca8-ac10-d82b959e8ed3.png,,,0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Dummy2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Agropecuario,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/100085,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Mejora tu suelo y aumenta tu cosecha,,,,,,,,,,,,,,,,,,,,,,,,,,,Agropecuario,,,,,,,,,Intermediate,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/100860,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/7363e5a2-1cbf-4821-8e4a-ad275a67cc55.png,,,0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Vendedor de piso (anterior),,,,,,,,,,,,,,,,,,,,,,,,,,,Comercio,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/17,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/40a3ad01-2981-4ba5-a714-2ac563f1c112.png,,"El  vendedor,  es el encargado de establecer una comunicación directa y personal con los clientes de un negocio. Sus funciones principales son dar asesoría y convencer a los clientes para que realicen la compra de los productos o servicios que el negocio ofrece.",0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Vendedor por catálogo,,,,,,,,,,,,,,,,,,,,,,,,,,,Comercio,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/18,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/f5c26637-b3a3-4c2d-a575-72749ad7a36e.png,,"¡Bienvenido!   
  Aprende el proceso de ventas por catálogo, manejando eficientemente tu cartera de clientes, el plan de actividades y de ventas. Conoce los medios para estar en contacto con tus clientes y presentar o promocionar tus productos.    
  ¡Éxito en tu capacitación!",0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Almacenista-montacarguista,,,,,,,,,,,,,,,,,,,,,,,,,,,Comercio,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/21,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/e45e730b-2da4-42dd-b65e-f4eaaf6fb222.png,,"¡Bienvenido! 
 La labor de almacenista-montacarguista es muy importante porque forma parte de una gran cadena de trabajo en el área comercial. Su objetivo es recibir, enviar y vigilar que los productos mantengan su calidad hasta llegar a sus consumidores.  
 ¡Éxito en tu capacitación!",0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Vendedor de piso,,,,,,,,,,,,,,,,,,,,,,,,,,,Comercio,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/48,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/300c4f07-d7d6-4baa-ad89-ce5a884ae165.png,,"¡Bienvenido!   
  Conoce el funcionamiento de una tienda y las prácticas que debes llevar a cabo para brindarle al cliente la mejor experiencia de compra.                  
   Al terminar este curso, podrás trabajar en tiendas de autoservicio, departamentales y boutiques.    
  ¡Éxito en tu capacitación!",0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Agente de ventas digital,,,,,,,,,,,,,,,,,,,,,,,,,,,Comercio,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/51,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/90a125c6-1cbe-48f9-8140-3aa4da081955.png,,"¡Bienvenido! 
 Como agente de ventas pondrás en práctica todos tus conocimientos sobre los medios web y las herramientas publicitarias que te ayudarán a identificar las áreas de oportunidad y así ayudar a cumplir las metas comerciales de tus clientes.  
 ¡Éxito en tu capacitación!",0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Encargado de envoltura de regalos,,,,,,,,,,,,,,,,,,,,,,,,,,,Comercio,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/58,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/6bc7c91c-5a0c-474b-baaf-7bd24102c614.png,,"¡Bienvenido! 
 Desarrolla tu creatividad elaborando diseños y estilos adecuados para cada tipo de regalo. En esta capacitación aprenderás técnicas, herramientas y materiales que te ayudarán a desempeñar un buen trabajo. 
 ¡Éxito en tu capacitación!",0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
